model_id,corner,t_bl_settle_s_ngspice,i_bl_leak_a_ngspice,t_bl_settle_s_spectre,i_bl_leak_a_spectre
3D_gaa_AOS,tt,2.4602e-09,2.52539e-10,,
3D_gaa_Si,tt,2.36337e-09,6.96246e-10,,
BCAT_125,tt,6.00922e-09,2.49509e-10,,
VCT_082,tt,5.23267e-09,1.55679e-10,,
VCT_091,tt,5.06936e-09,1.58145e-10,,
VCT_102,tt,4.87413e-09,1.61207e-10,,
VCT_125,tt,3.63829e-09,2.25523e-10,,
