model_id,architecture,corner,ccell_ff,t_write_s,t_read_s,i_hold_a,q_read_c
BCAT_125,BCAT,ss_125,10.0,1.90054e-09,2.28157e-08,6.87599e-12,2.17615e-19
BCAT_125,BCAT,ss_125,20.0,1.90027e-09,2.28212e-08,6.87619e-12,1.9354000000000002e-19
BCAT_125,BCAT,ss_125,30.0,1.90018e-09,2.2823e-08,6.87626e-12,1.85476e-19
VCT_082,VCT,ss_125,10.0,1.90071e-09,2.28545e-08,2.66309e-11,7.02487e-19
VCT_082,VCT,ss_125,20.0,1.90036e-09,2.28597e-08,2.66321e-11,6.70232e-19
VCT_082,VCT,ss_125,30.0,1.90024e-09,2.28614e-08,2.66326e-11,6.5943e-19
VCT_091,VCT,ss_125,10.0,1.90071e-09,2.28567e-08,2.65876e-11,6.76341e-19
VCT_091,VCT,ss_125,20.0,1.90036e-09,2.28619e-08,2.65888e-11,6.43933e-19
VCT_091,VCT,ss_125,30.0,1.90024e-09,2.28636e-08,2.65892e-11,6.33079e-19
VCT_102,VCT,ss_125,10.0,1.90071e-09,2.28593e-08,2.65325e-11,6.44089e-19
VCT_102,VCT,ss_125,20.0,1.90036e-09,2.28645e-08,2.65337e-11,6.1154700000000005e-19
VCT_102,VCT,ss_125,30.0,1.90024e-09,2.28662e-08,2.65341e-11,6.006500000000001e-19
VCT_125,VCT,ss_125,10.0,1.90071e-09,2.28762e-08,2.49258e-11,1.35504e-19
VCT_125,VCT,ss_125,20.0,1.90036e-09,2.28819e-08,2.49268e-11,1.00292e-19
VCT_125,VCT,ss_125,30.0,1.90024e-09,2.28838e-08,2.49271e-11,8.85013e-20
3D_gaa_Si,3D_GAA,ss_125,10.0,1.90075e-09,2.28934e-08,2.51535e-11,1.07603e-19
3D_gaa_Si,3D_GAA,ss_125,20.0,1.90037e-09,2.29006e-08,2.51548e-11,6.86884e-20
3D_gaa_Si,3D_GAA,ss_125,30.0,1.90025e-09,2.2903e-08,2.51552e-11,5.56272e-20
3D_gaa_AOS,3D_GAA,ss_125,10.0,1.90203e-09,2.29878e-08,3.30026e-10,2.5674600000000003e-19
3D_gaa_AOS,3D_GAA,ss_125,20.0,1.90101e-09,2.2996e-08,3.30074e-10,1.29382e-19
3D_gaa_AOS,3D_GAA,ss_125,30.0,1.90068e-09,2.29987e-08,3.3009e-10,8.65453e-20
