deck,model_id,corner,ccell_ff,vbl_pre_fraction,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
VCT_102_tt_read_15ff_vbl45.sp,VCT_102,tt,15.0,0.45,,,,,
VCT_102_tt_read_15ff_vbl50.sp,VCT_102,tt,15.0,0.5,,,,,
VCT_102_tt_read_20ff_vbl40.sp,VCT_102,tt,20.0,0.4,,,,,
VCT_102_tt_read_20ff_vbl45.sp,VCT_102,tt,20.0,0.45,,,,,
VCT_102_tt_read_20ff_vbl50.sp,VCT_102,tt,20.0,0.5,,,,,
VCT_102_tt_read_30ff_vbl40.sp,VCT_102,tt,30.0,0.4,,,,,
VCT_102_tt_read_30ff_vbl45.sp,VCT_102,tt,30.0,0.45,,,,,
VCT_102_tt_read_30ff_vbl50.sp,VCT_102,tt,30.0,0.5,,,,,
VCT_125_tt_read_10ff_vbl40.sp,VCT_125,tt,10.0,0.4,,,,,
VCT_125_tt_read_10ff_vbl45.sp,VCT_125,tt,10.0,0.45,,,,,
VCT_125_tt_read_10ff_vbl50.sp,VCT_125,tt,10.0,0.5,,,,,
VCT_125_tt_read_15ff_vbl40.sp,VCT_125,tt,15.0,0.4,,,,,
VCT_125_tt_read_15ff_vbl45.sp,VCT_125,tt,15.0,0.45,,,,,
VCT_125_tt_read_15ff_vbl50.sp,VCT_125,tt,15.0,0.5,,,,,
VCT_125_tt_read_20ff_vbl40.sp,VCT_125,tt,20.0,0.4,,,,,
VCT_125_tt_read_20ff_vbl45.sp,VCT_125,tt,20.0,0.45,,,,,
VCT_125_tt_read_20ff_vbl50.sp,VCT_125,tt,20.0,0.5,,,,,
VCT_125_tt_read_30ff_vbl40.sp,VCT_125,tt,30.0,0.4,,,,,
VCT_125_tt_read_30ff_vbl45.sp,VCT_125,tt,30.0,0.45,,,,,
VCT_125_tt_read_30ff_vbl50.sp,VCT_125,tt,30.0,0.5,,,,,
3D_gaa_AOS_ff_read_10ff_vbl40.sp,3D_gaa_AOS,ff,10.0,0.4,,,,,
3D_gaa_AOS_ff_read_10ff_vbl45.sp,3D_gaa_AOS,ff,10.0,0.45,,,,,
3D_gaa_AOS_ff_read_10ff_vbl50.sp,3D_gaa_AOS,ff,10.0,0.5,,,,,
3D_gaa_AOS_ff_read_15ff_vbl40.sp,3D_gaa_AOS,ff,15.0,0.4,,,,,
3D_gaa_AOS_ff_read_15ff_vbl45.sp,3D_gaa_AOS,ff,15.0,0.45,,,,,
3D_gaa_AOS_ff_read_15ff_vbl50.sp,3D_gaa_AOS,ff,15.0,0.5,,,,,
3D_gaa_AOS_ff_read_20ff_vbl40.sp,3D_gaa_AOS,ff,20.0,0.4,,,,,
3D_gaa_AOS_ff_read_20ff_vbl45.sp,3D_gaa_AOS,ff,20.0,0.45,,,,,
3D_gaa_AOS_ff_read_20ff_vbl50.sp,3D_gaa_AOS,ff,20.0,0.5,,,,,
3D_gaa_AOS_ff_read_30ff_vbl40.sp,3D_gaa_AOS,ff,30.0,0.4,,,,,
3D_gaa_AOS_ff_read_30ff_vbl45.sp,3D_gaa_AOS,ff,30.0,0.45,,,,,
3D_gaa_AOS_ff_read_30ff_vbl50.sp,3D_gaa_AOS,ff,30.0,0.5,,,,,
3D_gaa_Si_ff_read_10ff_vbl40.sp,3D_gaa_Si,ff,10.0,0.4,,,,,
3D_gaa_Si_ff_read_10ff_vbl45.sp,3D_gaa_Si,ff,10.0,0.45,,,,,
3D_gaa_Si_ff_read_10ff_vbl50.sp,3D_gaa_Si,ff,10.0,0.5,,,,,
3D_gaa_Si_ff_read_15ff_vbl40.sp,3D_gaa_Si,ff,15.0,0.4,,,,,
3D_gaa_Si_ff_read_15ff_vbl45.sp,3D_gaa_Si,ff,15.0,0.45,,,,,
3D_gaa_Si_ff_read_15ff_vbl50.sp,3D_gaa_Si,ff,15.0,0.5,,,,,
3D_gaa_Si_ff_read_20ff_vbl40.sp,3D_gaa_Si,ff,20.0,0.4,,,,,
3D_gaa_Si_ff_read_20ff_vbl45.sp,3D_gaa_Si,ff,20.0,0.45,,,,,
3D_gaa_Si_ff_read_20ff_vbl50.sp,3D_gaa_Si,ff,20.0,0.5,,,,,
3D_gaa_Si_ff_read_30ff_vbl40.sp,3D_gaa_Si,ff,30.0,0.4,,,,,
3D_gaa_Si_ff_read_30ff_vbl45.sp,3D_gaa_Si,ff,30.0,0.45,,,,,
3D_gaa_Si_ff_read_30ff_vbl50.sp,3D_gaa_Si,ff,30.0,0.5,,,,,
BCAT_125_ff_read_10ff_vbl40.sp,BCAT_125,ff,10.0,0.4,,,,,
BCAT_125_ff_read_10ff_vbl45.sp,BCAT_125,ff,10.0,0.45,,,,,
BCAT_125_ff_read_10ff_vbl50.sp,BCAT_125,ff,10.0,0.5,,,,,
BCAT_125_ff_read_15ff_vbl40.sp,BCAT_125,ff,15.0,0.4,,,,,
BCAT_125_ff_read_15ff_vbl45.sp,BCAT_125,ff,15.0,0.45,,,,,
BCAT_125_ff_read_15ff_vbl50.sp,BCAT_125,ff,15.0,0.5,,,,,
BCAT_125_ff_read_20ff_vbl40.sp,BCAT_125,ff,20.0,0.4,,,,,
BCAT_125_ff_read_20ff_vbl45.sp,BCAT_125,ff,20.0,0.45,,,,,
BCAT_125_ff_read_20ff_vbl50.sp,BCAT_125,ff,20.0,0.5,,,,,
BCAT_125_ff_read_30ff_vbl40.sp,BCAT_125,ff,30.0,0.4,,,,,
BCAT_125_ff_read_30ff_vbl45.sp,BCAT_125,ff,30.0,0.45,,,,,
BCAT_125_ff_read_30ff_vbl50.sp,BCAT_125,ff,30.0,0.5,,,,,
VCT_082_ff_read_10ff_vbl40.sp,VCT_082,ff,10.0,0.4,,,,,
VCT_082_ff_read_10ff_vbl45.sp,VCT_082,ff,10.0,0.45,,,,,
VCT_082_ff_read_10ff_vbl50.sp,VCT_082,ff,10.0,0.5,,,,,
VCT_082_ff_read_15ff_vbl40.sp,VCT_082,ff,15.0,0.4,,,,,
VCT_082_ff_read_15ff_vbl45.sp,VCT_082,ff,15.0,0.45,,,,,
VCT_082_ff_read_15ff_vbl50.sp,VCT_082,ff,15.0,0.5,,,,,
VCT_082_ff_read_20ff_vbl40.sp,VCT_082,ff,20.0,0.4,,,,,
VCT_082_ff_read_20ff_vbl45.sp,VCT_082,ff,20.0,0.45,,,,,
VCT_082_ff_read_20ff_vbl50.sp,VCT_082,ff,20.0,0.5,,,,,
VCT_082_ff_read_30ff_vbl40.sp,VCT_082,ff,30.0,0.4,,,,,
VCT_082_ff_read_30ff_vbl45.sp,VCT_082,ff,30.0,0.45,,,,,
VCT_082_ff_read_30ff_vbl50.sp,VCT_082,ff,30.0,0.5,,,,,
VCT_091_ff_read_10ff_vbl40.sp,VCT_091,ff,10.0,0.4,,,,,
VCT_091_ff_read_10ff_vbl45.sp,VCT_091,ff,10.0,0.45,,,,,
VCT_091_ff_read_10ff_vbl50.sp,VCT_091,ff,10.0,0.5,,,,,
VCT_091_ff_read_15ff_vbl40.sp,VCT_091,ff,15.0,0.4,,,,,
VCT_091_ff_read_15ff_vbl45.sp,VCT_091,ff,15.0,0.45,,,,,
VCT_091_ff_read_15ff_vbl50.sp,VCT_091,ff,15.0,0.5,,,,,
VCT_091_ff_read_20ff_vbl40.sp,VCT_091,ff,20.0,0.4,,,,,
VCT_091_ff_read_20ff_vbl45.sp,VCT_091,ff,20.0,0.45,,,,,
VCT_091_ff_read_20ff_vbl50.sp,VCT_091,ff,20.0,0.5,,,,,
VCT_091_ff_read_30ff_vbl40.sp,VCT_091,ff,30.0,0.4,,,,,
VCT_091_ff_read_30ff_vbl45.sp,VCT_091,ff,30.0,0.45,,,,,
VCT_091_ff_read_30ff_vbl50.sp,VCT_091,ff,30.0,0.5,,,,,
VCT_102_ff_read_10ff_vbl40.sp,VCT_102,ff,10.0,0.4,,,,,
VCT_102_ff_read_10ff_vbl45.sp,VCT_102,ff,10.0,0.45,,,,,
VCT_102_ff_read_10ff_vbl50.sp,VCT_102,ff,10.0,0.5,,,,,
VCT_102_ff_read_15ff_vbl40.sp,VCT_102,ff,15.0,0.4,,,,,
VCT_102_ff_read_15ff_vbl45.sp,VCT_102,ff,15.0,0.45,,,,,
VCT_102_ff_read_15ff_vbl50.sp,VCT_102,ff,15.0,0.5,,,,,
VCT_102_ff_read_20ff_vbl40.sp,VCT_102,ff,20.0,0.4,,,,,
VCT_102_ff_read_20ff_vbl45.sp,VCT_102,ff,20.0,0.45,,,,,
VCT_102_ff_read_20ff_vbl50.sp,VCT_102,ff,20.0,0.5,,,,,
